Country Code;Country Name;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961
AZE;Azerbaijan;5,79667853;2,2;0,065922707;4,854339505;9,410653522;10,77242069;25,049;34,5;26,4;10,2;11,2;10,6;9,9;11,1;7,4;10;5,8;1,3;-11,8;-19,7;-23,1;-22,6;-0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDI;Burundi;4,470824619;4,019365532;4,191625678;3,785902542;3,468425427;5,048118782;4,785831951;5,384657398;0,9;4,833657761;-1,223727958;4,446519421;2,055807106;-0,856864057;-1,01;4,75;-1,59;-8;-7,92;-3,83;-6,24;1,009998365;4,996836457;3,499822139;1,349502233;5,031024363;5,503096116;3,250180461;11,78318018;0,15554401;3,715326989;-1,053599817;12,16327556;0,991055731;1,66495495;-0,940575994;11,46945305;7,942660978;0,697920233;-0,726839563;6,889050724;-6,403964923;2,746828712;21,32567072;-1,459541142;-0,297883668;13,8215186;4,612992882;3,96722561;6,273037921;4,135407415;9,063157933;-13,74613506
BEL;Belgium;0,196622433;-0,143801895;1,754240931;2,337832274;-2,800566856;0,98516304;2,883213342;2,666541916;1,751108202;3,27431154;0,806831275;1,359653667;0,807633274;3,669619423;3,539994361;1,928963187;3,73515224;1,424413204;2,384757222;3,226971469;-0,961873091;1,53065481;1,833074297;3,137402455;3,469166813;4,7232089;2,306659429;1,822762128;1,651792843;2,466382659;0,311842729;0,594986945;-0,279283619;4,479501221;2,341058001;2,841912664;0,626135478;5,652750967;-1,327000265;4,19963425;6,12232757;5,25564666;3,75302137;5,957294895;6,629799795;4,194129625;3,868146947;3,155894982;3,56065984;6,956684733;4,351584282;5,212003509;4,978423063
BEN;Benin;5,600002481;5,399973877;3,530698244;2,552817841;2,666515398;5,018430261;4,62639647;3,752154475;2,865236818;3,119857108;3,882508341;4,421114337;6,248410555;4,86166756;5,341449371;3,961012146;5,734688365;4,324284034;6,045198644;2,020400445;5,836172102;2,957710813;4,225799424;8,976134355;-2,854160484;3,405245278;-1,500002935;2,171141589;7,530324837;7,92983957;-4,34782272;2,235066324;9,954231179;6,781763875;6,535747414;1,255078016;4,983663734;0,884356313;-4,895345432;3,339312175;3,706165308;6,426367548;-1,496841845;2,097757581;2,877497991;3,842335612;1,078398678;3,575862755;5,293862825;6,650759127;4,730027938;-3,426409805;3,141280442
BFA;Burkina Faso;6,529291389;9,537420114;4,210077721;7,939698739;2,965439145;5,800005065;3,606206563;6,767809454;8,661873228;4,478452136;7,802493891;5,143785179;6,58537435;1,847021335;7,404178965;7,307719635;6,316834731;11,01474387;5,71637387;1,315007275;3,461384933;0,232710762;9,069984461;-0,60292848;2,150267271;5,795592967;-0,236336791;7,955362723;8,517364998;-1,77869668;0,345984738;9,562196614;4,255303401;0,796878866;3,664621514;4,607825009;0,370353562;8,534894964;2,998382892;8,286426487;0,449327408;2,311498733;1,413339875;0,117019619;2,026081041;3,070773927;8,823314987;0,537613084;3,764545368;2,282819232;-1,268016366;6,128798784;4,043927975
BGD;Bangladesh;6,030242521;6,233705051;6,708097255;6,069339864;5,741158626;6,190431553;6,427842521;6,629337175;5,955478473;6,2705029;5,255994272;4,415410923;5,274014114;5,94450677;4,869230207;5,227531388;5,387551729;4,621967972;4,92505218;4,084703532;4,57437555;5,039133121;3,339355537;5,941307144;2,612351812;2,159202308;3,73226373;4,248570449;3,223280624;5,180672299;4,016088042;2,376466818;3,801998047;0,819141865;4,801634599;7,073837739;2,673056044;5,661361201;-4,088214092;9,591956304;3,32568019;-13,97372869;-5,479483036;5,619852302;1,220857907;9,489454022;-1,875863927;2,566812;1,606258229;10,95278855;-0,455894298;5,453030984;6,058160818
BGR;Bulgaria;0,898654169;0,601010623;1,8;0,4;-5,5;6,2;6,4;6,5;6,4;6,7;5,5;4,7;4,2;5,7;1,964141473;4,861361965;-1,645530387;-9,030054663;2,860189461;1,81801096;-1,480214784;-7,272387858;-8,445355216;-9,117377193;-3,289881992;10,94469186;6,054513852;4,207602111;2,683440659;3,396443551;3,430306207;2,334565588;4,900161619;;;;;;;;;;;;;;;;;;;;
BHR;Bahrain;5,49;3,399557843;2,100022917;4,336764484;2,545628797;6,236542559;8,293992663;6,467045538;6,768939129;6,980946175;6,023952475;3,614147361;2,491034415;5,29999345;4,3000008;4,790002365;3,09299925;4,110005383;3,929992241;-0,250001;12,87000742;6,689996479;11,22999972;4,43799733;0,364005338;6,999993825;10,39900691;1,18299553;-4,758267151;5,003644224;6,376377312;-7,556217507;-5,316696284;;;;;;;;;;;;;;;;;;;;
BHS;Bahamas, The;;1,832171744;1,659385056;0,987986326;-4,175259175;-2,323937248;1,446522215;2,516863841;3,39529267;0,882884233;-1,264744629;2,704629513;2,625627121;4,1492464;7,144129932;4,716473825;2,062240199;4,223530213;4,378750977;3,148916321;0,307806453;-3,825582741;-4,181783464;-1,596249254;6,727328385;2,309708309;2,984518884;1,796999968;4,829180077;14,17115069;3,59705136;6,698898545;-9,226405267;6,495280366;26,13929595;14,17951865;9,154929577;5,185185185;-14,80312426;-16,75422933;7,567567568;-3,497336204;1,62650988;-5,649649859;8,981661051;8,42176423;9,598116159;9,071928067;10,42559636;10,50156613;10,52405825;10,45197086;10,66709879
BIH;Bosnia and Herzegovina;0,364933545;-0,700000037;1,299999976;0,699999999;-2,91;5,42;6,838;6,2;5;6,1;4;5,3;4,4;5,5;9,6;15,59999615;34,38957514;88,95766405;20,80000117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
