Series title,Year,Amount
Other Services,2012,71217
Other Services,2013,76497
Other Services,2014,82790
Other Services,2015,89093
Less Financial Intermediation Services Indirectly Measured  (FISIM),2006,30450
Less Financial Intermediation Services Indirectly Measured  (FISIM),2007,32299
Less Financial Intermediation Services Indirectly Measured  (FISIM),2008,37267
Less Financial Intermediation Services Indirectly Measured  (FISIM),2009,43755
Less Financial Intermediation Services Indirectly Measured  (FISIM),2010,47349
Less Financial Intermediation Services Indirectly Measured  (FISIM),2011,44778
Less Financial Intermediation Services Indirectly Measured  (FISIM),2012,46741
Less Financial Intermediation Services Indirectly Measured  (FISIM),2013,48670
Less Financial Intermediation Services Indirectly Measured  (FISIM),2014,50255
Less Financial Intermediation Services Indirectly Measured  (FISIM),2015,52532
