DATE,CANLORSGPNOSTSAM
1961-02-01,98.5713018233032
1961-03-01,98.8348523775044
1961-04-01,99.0943682289139
1961-05-01,99.3420106643061
1961-06-01,99.5686238035613
1961-07-01,99.76595166222
1961-08-01,99.9287788494006
1961-09-01,100.058832960919
1961-10-01,100.170812659765
1961-11-01,100.279685336624
1961-12-01,100.38908138792
1962-01-01,100.479735433557
1962-02-01,100.525419349238
1962-03-01,100.509910699827
1962-04-01,100.446757922306
1962-05-01,100.362662330739
1962-06-01,100.284240926435
1962-07-01,100.226402998589
1962-08-01,100.193156717361
1962-09-01,100.17683813026
1962-10-01,100.155462255968
1962-11-01,100.104770346926
1962-12-01,100.010411326261
1963-01-01,99.8819309159971
1963-02-01,99.7394312577092
1963-03-01,99.6027590242842
1963-04-01,99.4818586542559
1963-05-01,99.3853501457024
1963-06-01,99.3278359775005
1963-07-01,99.3353741422556
1963-08-01,99.4338856914415
1963-09-01,99.6329644895444
1963-10-01,99.9028692770514
1963-11-01,100.194832183448
1963-12-01,100.455890616455
1964-01-01,100.642067101837
1964-02-01,100.721427158417
1964-03-01,100.682266345264
1964-04-01,100.548423409845
1964-05-01,100.357571914007
1964-06-01,100.146346879521
1964-07-01,99.9399256183402
1964-08-01,99.7580669860128
1964-09-01,99.6208617484532
1964-10-01,99.552779656884
1964-11-01,99.5730205290451
1964-12-01,99.6810546189477
1965-01-01,99.8356752109183
1965-02-01,99.9838250190569
1965-03-01,100.085818283347
1965-04-01,100.140893543616
1965-05-01,100.17026183117
1965-06-01,100.203400164597
1965-07-01,100.266261307318
1965-08-01,100.378328350669
1965-09-01,100.547575651052
1965-10-01,100.761826468532
1965-11-01,101.00020127154
1965-12-01,101.241189174558
1966-01-01,101.468925742898
1966-02-01,101.668527042612
1966-03-01,101.822311702186
1966-04-01,101.908018819453
1966-05-01,101.905684761515
1966-06-01,101.809359581788
1966-07-01,101.644867686313
1966-08-01,101.447475177442
1966-09-01,101.244774112694
1966-10-01,101.04244522935
1966-11-01,100.838213385775
1966-12-01,100.635718697898
1967-01-01,100.458455353493
1967-02-01,100.332433258658
1967-03-01,100.26749544038
1967-04-01,100.235233591745
1967-05-01,100.193121475313
1967-06-01,100.106082572486
1967-07-01,99.9686413095611
1967-08-01,99.7930685638624
1967-09-01,99.6012329907372
1967-10-01,99.4193685711818
1967-11-01,99.2752912515678
1967-12-01,99.1951526420887
1968-01-01,99.1977133816351
1968-02-01,99.2933311156354
1968-03-01,99.4769666061012
1968-04-01,99.7142834649604
1968-05-01,99.9620111370344
1968-06-01,100.184349674886
1968-07-01,100.368647241547
1968-08-01,100.514975002405
1968-09-01,100.62823689803
1968-10-01,100.712876797754
1968-11-01,100.770580312878
1968-12-01,100.799987602344
1969-01-01,100.798302058918
1969-02-01,100.763706431844
1969-03-01,100.699955442441
1969-04-01,100.623240760554
1969-05-01,100.553610015618
1969-06-01,100.507414974952
1969-07-01,100.489349843513
1969-08-01,100.495570439111
1969-09-01,100.51471352813
1969-10-01,100.527105294621
1969-11-01,100.511046617614
1969-12-01,100.449504141815
1970-01-01,100.33872095707
1970-02-01,100.183225143233
1970-03-01,99.9943037598241
1970-04-01,99.7916220282182
1970-05-01,99.5931973561166
1970-06-01,99.4065234849225
1970-07-01,99.2195269600258
1970-08-01,99.0130671735752
1970-09-01,98.7732364212146
1970-10-01,98.5047974726485
1970-11-01,98.2286698115156
1970-12-01,97.9814451844488
1971-01-01,97.8155453994162
1971-02-01,97.7816551669068
1971-03-01,97.9057164673457
1971-04-01,98.1687011609016
1971-05-01,98.5225522670319
1971-06-01,98.907830071932
1971-07-01,99.2646538033616
1971-08-01,99.5406367966845
1971-09-01,99.7008615959071
1971-10-01,99.743341058012
1971-11-01,99.6874916817186
1971-12-01,99.5704797833623
1972-01-01,99.4503070840869
1972-02-01,99.3820822572764
1972-03-01,99.3949283699174
1972-04-01,99.4652369705368
1972-05-01,99.5522120569662
1972-06-01,99.628696751413
1972-07-01,99.7105146606022
1972-08-01,99.8328067648506
1972-09-01,100.025954063343
1972-10-01,100.288471308201
1972-11-01,100.599848819486
1972-12-01,100.928064333009
1973-01-01,101.23340360029
1973-02-01,101.477524182291
1973-03-01,101.634155564006
1973-04-01,101.704039344763
1973-05-01,101.703507013948
1973-06-01,101.659034698421
1973-07-01,101.606796303963
1973-08-01,101.579740519264
1973-09-01,101.595474547238
1973-10-01,101.642486236535
1973-11-01,101.696578192455
1973-12-01,101.734922000284
1974-01-01,101.749565485975
1974-02-01,101.737845310136
1974-03-01,101.694565782158
1974-04-01,101.606173165081
1974-05-01,101.455248725976
1974-06-01,101.228297018905
1974-07-01,100.927956456454
1974-08-01,100.564763781808
1974-09-01,100.154341112748
1974-10-01,99.7192469728441
1974-11-01,99.2862011257342
1974-12-01,98.8853853086169
1975-01-01,98.5499208291647
1975-02-01,98.3099242277878
1975-03-01,98.1822756191904
1975-04-01,98.1629449114155
1975-05-01,98.2337665616096
1975-06-01,98.3703448459442
1975-07-01,98.5433554334939
1975-08-01,98.7277813623425
1975-09-01,98.9095309399422
1975-10-01,99.0912092993014
1975-11-01,99.2834709698619
1975-12-01,99.4962676772153
1976-01-01,99.7292205004106
1976-02-01,99.9729069194325
1976-03-01,100.208585811587
1976-04-01,100.407065872383
1976-05-01,100.538154908165
1976-06-01,100.582792192079
1976-07-01,100.549867356252
1976-08-01,100.462351919172
1976-09-01,100.348917325661
1976-10-01,100.239592673502
1976-11-01,100.15831834916
1976-12-01,100.1154405507
1977-01-01,100.098336736652
1977-02-01,100.085763223963
