,CANLORSGPNOSTSAM,inflation_common,inflation_trimmed_median,inflation_weighted_median,employment_rate,unemployment_rate,participation_rate,5_year_bond_benchmark,10_year_bond_benchmark,long_term_bond_benchmark,Bank of Canada Target Overnight Rate,Mortgage Rate
2014-05-01,101.047063278269,1.5,1.7,1.8,61.8,7.2,66.6,1.587142857142857,2.315238095238095,2.8495238095238093,1.0,4.02
2014-06-01,101.165692811281,1.6,1.8,1.8,62.4,6.7,66.9,1.5790476190476193,2.2985714285714285,2.8304761904761904,1.0,4.0
2014-07-01,101.279219022087,1.6,1.6,1.7,62.2,7.3,67.1,1.5195454545454543,2.194545454545455,2.74,1.0,4.01
2014-08-01,101.369252370757,1.5,1.7,1.7,62.0,7.5,67.0,1.511,2.0620000000000003,2.62,1.0,4.01
2014-09-01,101.416859171978,1.6,1.7,1.8,61.5,6.3,65.7,1.6485714285714284,2.1809523809523808,2.7104761904761907,1.0,4.02
2014-10-01,101.406379762128,1.6,1.7,1.8,61.6,6.1,65.6,1.492727272727273,2.0104545454545453,2.553181818181818,1.0,4.0
2014-11-01,101.326615899833,1.7,1.7,1.8,61.3,6.2,65.4,1.5010526315789474,2.0031578947368422,2.5589473684210526,1.0,4.0
2014-12-01,101.176166822459,1.7,1.7,1.7,60.9,6.2,64.9,1.39,1.851904761904762,2.3904761904761904,1.0,3.98
2015-01-01,100.973610864957,1.7,1.7,1.8,60.1,7.0,64.6,1.0080952380952382,1.5257142857142856,2.09952380952381,1.0,3.96
2015-02-01,100.745361584004,1.7,1.6,1.7,60.2,7.2,64.9,0.7252631578947368,1.3794736842105264,1.9984210526315789,0.75,3.91
2015-03-01,100.517384991759,1.6,1.6,1.7,60.1,7.5,65.0,0.8263636363636363,1.4213636363636364,2.049090909090909,0.75,3.84
2015-04-01,100.308966746064,1.6,1.4,1.6,60.5,7.2,65.2,0.8333333333333334,1.4109523809523812,2.041904761904762,0.75,3.76
2015-05-01,100.132764780357,1.6,1.5,1.6,61.8,7.1,66.5,1.0415,1.7440000000000002,2.335,0.75,3.74
2015-06-01,99.9935324838325,1.6,1.4,1.6,62.5,6.5,66.8,0.9736363636363636,1.7799999999999998,2.3745454545454545,0.75,3.72
2015-07-01,99.8845707412121,1.6,1.6,1.8,62.2,7.1,67.0,0.75,1.5695454545454546,2.2363636363636363,0.75,3.71
2015-08-01,99.7951453160859,1.6,1.6,1.8,62.1,7.6,67.2,0.7175,1.3915,2.1065,0.5,3.71
2015-09-01,99.7156743899309,1.6,1.6,1.7,61.4,6.5,65.7,0.7895238095238096,1.481428571428571,2.237619047619048,0.5,3.71
2015-10-01,99.6414978600417,1.7,1.7,1.8,61.5,6.3,65.6,0.82,1.4633333333333334,2.2576190476190474,0.5,3.72
2015-11-01,99.5699161055596,1.7,1.8,1.9,61.1,6.6,65.4,0.947,1.6335000000000002,2.343,0.5,3.72
2015-12-01,99.4968699873077,1.7,1.8,2.0,60.8,6.7,65.2,0.8014285714285714,1.4595238095238094,2.1957142857142857,0.5,3.75
2016-01-01,99.4134494135565,1.7,1.8,2.0,59.9,7.6,64.8,0.649,1.258,2.0475,0.5,3.76
2016-02-01,99.3127440497871,1.6,1.8,2.0,59.9,7.8,65.0,0.595,1.1244999999999998,1.9305,0.5,3.75
2016-03-01,99.1973693541408,1.7,1.8,2.0,60.0,7.7,65.0,0.714090909090909,1.268181818181818,2.053636363636364,0.5,3.73
2016-04-01,99.0881307208961,1.7,2.0,2.2,60.3,7.5,65.2,0.7785714285714287,1.3361904761904762,2.0085714285714285,0.5,3.7
2016-05-01,99.0113257992006,1.6,2.0,2.2,61.6,7.0,66.3,0.7423809523809524,1.35,1.992380952380952,0.5,3.67
2016-06-01,98.9857167558041,1.6,2.0,2.2,62.1,6.5,66.4,0.6222727272727272,1.1681818181818182,1.82,0.5,3.66
2016-07-01,99.007218367282,1.5,1.9,2.0,61.7,7.2,66.5,0.607,1.051,1.666,0.5,3.67
2016-08-01,99.0625815377467,1.5,1.9,2.0,61.6,7.6,66.7,0.6413636363636364,1.0427272727272727,1.65,0.5,3.68
2016-09-01,99.1395189805849,1.4,1.9,2.0,61.2,6.5,65.4,0.6685714285714285,1.0861904761904762,1.7228571428571429,0.5,3.67
2016-10-01,99.2343320152649,1.4,1.8,2.0,61.3,6.3,65.5,0.7045,1.1665,1.8175,0.5,3.68
2016-11-01,99.348063882037,1.3,1.6,1.9,61.0,6.4,65.2,0.8814285714285713,1.4376190476190476,2.064761904761905,0.5,3.7
2016-12-01,99.481317649549,1.3,1.6,1.8,60.9,6.5,65.1,1.123,1.732,2.334,0.5,3.74
2017-01-01,99.6276350597538,1.2,1.6,1.8,60.2,7.2,64.9,1.1138095238095238,1.7223809523809526,2.34,0.5,3.73
2017-02-01,99.7768069428292,1.3,1.5,1.7,60.3,7.0,64.8,1.113157894736842,1.702105263157895,2.3905263157894736,0.5,3.75
2017-03-01,99.9171825834002,1.3,1.4,1.6,60.3,7.3,65.0,1.1782608695652177,1.7143478260869565,2.3908695652173915,0.5,3.66
2017-04-01,100.037723609687,1.3,1.4,1.5,60.5,6.8,65.0,1.0478947368421052,1.5231578947368425,2.191052631578948,0.5,3.62
2017-05-01,100.129509560327,1.3,1.2,1.4,62.1,6.6,66.4,0.9822727272727272,1.5131818181818182,2.145,0.5,3.59
2017-06-01,100.188616267929,1.3,1.2,1.4,62.6,6.1,66.7,1.098181818181818,1.502727272727273,2.0354545454545456,0.5,3.6
2017-07-01,100.220992417119,1.4,1.3,1.6,62.3,6.6,66.8,1.521,1.908,2.28,0.5,3.72
2017-08-01,100.236733823991,1.5,1.4,1.6,62.2,6.9,66.8,1.5127272727272727,1.883636363636364,2.312272727272727,0.75,3.82
2017-09-01,100.246237684261,1.5,1.4,1.6,61.6,5.7,65.3,1.75,2.0495,2.411,0.75,3.89
2017-10-01,100.25754539112,1.5,1.4,1.5,61.7,5.7,65.4,1.7185714285714284,2.050952380952381,2.4061904761904764,1.0,3.98
2017-11-01,100.276269858518,1.5,1.7,1.7,61.6,5.5,65.2,1.6395238095238096,1.9185714285714288,2.255714285714286,1.0,4.04
2017-12-01,100.305390073345,1.6,1.8,1.7,61.6,5.4,65.1,1.7326315789473683,1.9152631578947368,2.187894736842105,1.0,4.07
2018-01-01,100.344507199191,1.7,1.8,1.7,60.4,6.3,64.4,1.9977272727272728,2.1981818181818182,2.354090909090909,1.0,4.14
2018-02-01,100.391438583734,1.8,2.0,1.9,60.5,6.2,64.5,2.095263157894737,2.324210526315789,2.4526315789473685,1.25,4.26
2018-03-01,100.443084546546,1.9,1.9,1.9,60.6,6.3,64.7,2.026190476190476,2.1885714285714286,2.3385714285714285,1.25,4.27
2018-04-01,100.495729532892,1.9,2.0,2.0,60.9,6.1,64.9,2.091428571428572,2.2490476190476194,2.367142857142857,1.25,4.27
2018-05-01,100.544878941379,1.9,1.9,1.9,62.0,6.1,66.0,2.2004545454545457,2.375454545454545,2.4145454545454546,1.25,4.35
2018-06-01,100.585027051429,1.9,2.0,1.9,62.6,5.7,66.4,2.07047619047619,2.209047619047619,2.26,1.25,4.32
2018-07-01,100.609683303907,1.9,2.0,1.9,62.3,6.0,66.3,2.096190476190476,2.1871428571428573,2.2304761904761907,1.25,4.42
2018-08-01,100.612961891581,1.9,2.1,2.0,62.0,6.7,66.4,2.2172727272727277,2.2954545454545454,2.308181818181818,1.5,4.43
2018-09-01,100.592293051542,1.9,2.0,1.9,61.5,5.5,65.1,2.265263157894737,2.353684210526316,2.366842105263158,1.5,4.43
2018-10-01,100.552666708215,1.9,2.1,2.0,61.5,5.3,65.0,2.402272727272728,2.488636363636364,2.5045454545454544,1.5,4.48
2018-11-01,100.503765524427,1.9,1.9,1.8,61.6,5.2,65.0,2.3385714285714285,2.407619047619048,2.461904761904762,1.75,4.38
2018-12-01,100.458491561367,1.9,1.9,1.8,61.4,5.3,64.8,1.9952631578947368,2.057894736842105,2.216315789473684,1.75,4.59
2019-01-01,100.432210018589,1.8,1.9,1.8,60.6,6.2,64.7,1.8804545454545452,1.9536363636363636,2.1750000000000003,1.75,4.59
2019-02-01,100.437702530402,1.8,1.9,1.9,60.9,6.2,64.9,1.8115789473684207,1.907368421052632,2.1578947368421053,1.75,4.52
2019-03-01,100.478822044427,1.8,2.2,2.0,60.9,6.3,64.9,1.5976190476190475,1.7123809523809523,2.005714285714286,1.75,4.44
2019-04-01,100.541876304516,1.8,2.0,1.8,61.4,6.0,65.3,1.5780952380952382,1.7242857142857144,2.0128571428571425,1.75,4.33
2019-05-01,100.60585566027,1.8,2.2,1.9,62.6,5.5,66.3,1.5427272727272727,1.6645454545454543,1.910909090909091,1.75,4.3
2019-06-01,100.651080161449,1.8,2.0,1.8,63.1,5.3,66.6,1.35,1.4625,1.716,1.75,4.23
2019-07-01,100.667814318247,1.9,2.0,1.8,62.6,6.0,66.6,1.4554545454545451,1.5190909090909093,1.7304545454545457,1.75,4.14
2019-08-01,100.652975116447,1.8,2.0,1.8,62.6,6.4,66.9,1.2238095238095237,1.2052380952380952,1.4414285714285715,1.75,4.08
2019-09-01,100.608888595085,1.8,2.0,1.8,62.2,5.1,65.6,1.3875,1.364,1.56,1.75,4.07
2019-10-01,100.544314993147,1.9,2.0,1.8,62.1,5.1,65.5,1.4627272727272729,1.4495454545454545,1.5936363636363635,1.75,4.09
2019-11-01,100.469801754035,1.9,2.1,1.9,61.6,5.5,65.2,1.5065,1.4994999999999998,1.6285,1.75,4.09
2019-12-01,100.394565250389,1.9,1.9,1.9,61.6,5.2,64.9,1.6195,1.6045000000000005,1.685,1.75,4.08
2020-01-01,100.324152724631,1.8,2.0,1.9,60.7,5.9,64.5,1.5045454545454546,1.4922727272727272,1.6109090909090908,1.75,4.08
2020-02-01,100.261447561864,1.8,1.9,1.9,60.9,5.9,64.7,1.3010526315789472,1.2947368421052632,1.4210526315789471,1.75,4.08
2020-03-01,93.9746270701259,1.7,1.8,1.8,57.4,8.5,62.8,0.7186363636363636,0.8190909090909091,1.2322727272727272,1.75,3.9
2020-04-01,89.873445208521,1.5,1.8,1.9,51.5,13.6,59.6,0.5028571428571429,0.6571428571428571,1.252857142857143,0.25,3.95
2020-05-01,87.7699554432697,1.4,1.6,1.8,53.5,13.8,62.1,0.39,0.5509999999999999,1.1125,0.25,3.86
2020-06-01,90.0339986732435,1.4,1.8,1.9,57.2,11.9,64.9,0.3977272727272727,0.5613636363636364,1.0827272727272728,0.25,3.77
2020-07-01,92.2891337254125,1.3,1.7,1.9,58.1,11.3,65.5,0.3477272727272727,0.5163636363636364,1.0018181818181815,0.25,3.64
2020-08-01,94.5426290003166,1.4,1.7,1.9,58.6,11.1,66.0,0.378,0.5635,1.0675,0.25,3.57
2020-09-01,95.059982751464,1.5,1.8,1.9,59.4,8.5,64.9,0.3571428571428571,0.5595238095238095,1.082857142857143,0.25,3.51
2020-10-01,95.5799746429169,1.5,1.9,2.0,59.6,8.2,64.9,0.3647619047619048,0.6028571428571429,1.1885714285714286,0.25,3.45
2020-11-01,96.0942371238631,1.5,1.8,2.0,59.5,8.0,64.7,0.433,0.6885,1.234,0.25,3.42
2020-12-01,96.3609953971256,1.3,1.8,1.9,59.1,8.0,64.3,0.4466666666666667,0.7309523809523809,1.2757142857142856,0.25,3.34
2021-01-01,96.6233656635106,1.3,1.9,1.9,57.5,9.8,63.8,0.4269999999999999,0.8055,1.4295,0.25,3.3
2021-02-01,96.8828210527869,1.4,1.9,1.9,58.5,8.6,64.0,0.5773684210526316,1.0994736842105264,1.6694736842105262,0.25,3.25
2021-03-01,96.6794222661312,1.5,2.0,2.0,59.2,8.1,64.5,0.9365217391304348,1.4965217391304348,1.9365217391304348,0.25,3.26
2021-04-01,96.4747890191348,1.7,2.3,2.2,59.0,8.4,64.4,0.9433333333333332,1.516190476190476,1.9914285714285715,0.25,3.25
2021-05-01,96.2673164899592,1.8,2.6,2.4,59.9,8.4,65.3,0.918,1.524,2.112,0.25,3.25
2021-06-01,96.2851395269195,1.7,2.6,2.4,61.2,7.4,66.1,0.9154545454545456,1.4249999999999998,1.9218181818181816,0.25,3.26
2021-07-01,96.2994129034269,1.7,3.1,2.7,61.1,7.7,66.3,0.8614285714285714,1.2514285714285716,1.779047619047619,0.25,3.2
2021-08-01,96.3191136367808,1.8,3.2,2.8,61.2,7.9,66.4,0.8371428571428571,1.1919047619047618,1.7552380952380953,0.25,3.2
